INMATEID,ADMITTED_DT,DISCHARGED_DT,CUSTODY_LEVEL,BRADH,RACE,GENDER,AGE,INMATE_STATUS_CODE,SEALED,SRG_FLG,TOP_CHARGE,INFRACTION,Penal Law OFFENSE,CLASS,CODE,DAYS_SINCE_ADMISSION
79892,01/01/2020 06:22:31 PM,,MED,Y,B,M,38.0,DE,N,N,FOA 900.00,Y,,,,697
20208774,01/01/2020 12:11:00 PM,,MAX,Y,B,M,22.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,697
135307,01/01/2021 02:28:38 PM,,MAX,Y,B,M,39.0,DE,N,N,120.05,Y,Assault in the second degree,D Violent Felony,120.05,331
20212549,01/01/2021 06:39:20 PM,,MIN,Y,W,M,54.0,DE,N,N,110-125.25,N,,,,331
89647,01/02/2019 05:23:01 PM,,MED,Y,O,M,36.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,1061
20202853,01/02/2021 01:00:14 PM,,MAX,Y,B,M,31.0,DE,N,N,120.10,Y,Assault in the first degree,B Violent Felony,120.10,330
16567,01/02/2021 01:53:18 AM,,MED,Y,B,M,43.0,DPV,N,N,,N,,,,330
20004791,01/02/2021 11:55:50 AM,,MAX,Y,O,M,31.0,DE,N,N,110-125.25,Y,,,,330
20070710,01/02/2021 12:17:29 PM,,MIN,Y,W,M,54.0,DE,N,N,140.25,N,Burglary in the second degree,C Violent Felony,140.25,330
20208798,01/03/2020 01:03:09 PM,,MED,Y,A,F,32.0,DE,N,N,135.20,Y,Kidnapping in the second degree,B Violent Felony,135.20,695
20145389,01/03/2020 08:25:35 PM,,MAX,Y,B,M,22.0,DE,N,Y,130.30,Y,Rape in the second degree,D Violent Felony,130.30,695
24131,01/03/2020 11:47:57 AM,,MAX,Y,B,M,35.0,DE,N,Y,125.25,Y,Murder in the second degree,A-I Felony,125.25,695
20140674,01/03/2020 12:18:18 PM,,MAX,N,B,M,39.0,DE,N,Y,125.25,Y,Murder in the second degree,A-I Felony,125.25,695
20021229,01/03/2021 01:11:58 AM,,MAX,N,O,M,30.0,DE,N,N,215.52,Y,Aggravated criminal contempt,D Felony,215.52,329
20212566,01/03/2021 02:06:42 AM,,MAX,Y,B,M,24.0,DE,N,N,150.15,Y,Arson in the second degree,B Violent Felony,150.15,329
20212570,01/03/2021 04:51:00 PM,,MIN,Y,O,M,24.0,DE,N,N,265.03,Y,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,329
20212571,01/03/2021 05:23:50 PM,,MIN,Y,B,M,73.0,SSR,N,N,,Y,,,,329
132082,01/03/2021 06:14:03 PM,,MIN,Y,B,M,43.0,DE,N,N,110-120.10,Y,,,,329
20141093,01/03/2021 06:40:54 PM,,MAX,N,B,M,26.0,DE,N,Y,265.03,Y,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,329
20152207,01/03/2021 12:47:33 PM,,MIN,Y,B,M,68.0,DE,N,N,215.52,N,Aggravated criminal contempt,D Felony,215.52,329
20184873,01/03/2021 12:50:50 AM,,MAX,N,B,M,24.0,DE,N,N,130.35,Y,Rape in the first degree,B Violent Felony,130.35,329
20068335,01/04/2020 05:29:01 PM,,MAX,Y,B,M,27.0,DE,N,Y,265.03,Y,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,694
