Title,,,,Section,Sub,,Class,,,,Cat,,Deg,,NCIC,,,Printable,,,UCR  Code,,,IBR Code,Effective Date,,,,Short Description,,,Full Description
ABC,,,051,,,,,A,M,,,0,,,,4102,,N,99,,,90G,,,,,,,,BREWER LIC VIOL,,Brewers License Violation
ABC,,,054,,,,,U,M,,,0,,,,4199,,N,44,,,90G,,,,,,,,RETAIL LIC VIOL,,Vio Beer Sale Consum Off Prems
ABC,,,061,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,DISTILLER VIOL,,Violation Distiller's Licenses
ABC,,,063,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,RETAIL LIC VIOL,,Violation Liquor Sale Consumption Off Premises
ABC,,,064-A,,,,,A,M,,,0,,,,4102,,N,44,,,90G,,,,06/28/1965,,,,LIQUOR LIC VIOL,,Violation Special License Consumption On Premises
ABC,,,064-B,,,,,A,M,,,0,,,,4199,,N,44,,,90G,,,,06/01/1969,,,,UNL BOTTLE CLUB,,Unlicensed Bottle Club
ABC,,,064-B,,,,,U,M,,,0,,,,4102,,N,44,,,90G,,,,01/01/1991,,,,LIQUOR LIC VIOL,,Unlicensed Bottle Club
ABC,,,065,,,,,A,M,,,0,,,,4102,,N,99,,,90G,,,,,,,,VIOL SALE BEV,,Prohibited Sale Alcoholic Beverage
ABC,,,065-A,,,,,,V,,,0,,,,4199,,N,44,,,90G,,,,12/01/1985,,,,LIC VIOL MINOR,,Procure Alcohol For Person Less Than 21
ABC,,,065-B,,,,,,V,,,0,,,,4199,,N,44,,,90G,,,,12/01/1985,,,,ABC VIOL MINOR,,Person Less Than 21 Obtaining Alcohol-Fraud
ABC,,,065-C,,,,,,V,,,0,,,,4104,,N,44,,,90G,,,,,,,,ABC VIOL MINOR,,Unlawful Possession Alcohol Person Under 21
ABC,,,077,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,WINE SALE VIOL,,Violation Sale Of Wine In Bulk
ABC,,,079,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,WINE SALE VIOL,,Violation Sell Wine For Consumption Off Premises
ABC,,,082,,,,,A,M,,,0,,,,4102,,N,99,,,90G,,,,,,,,PROH WINE SALE,,Prohibited Sale Of Wine
ABC,,,091,,,,,A,M,,,0,,,,4102,,N,99,,,90G,,,,,,,,ABC PERMIT VIOL,,Unauthorized Sale Industrial Alcohol
ABC,,,092,,,,,A,M,,,0,,,,4102,,N,99,,,90G,,,,,,,,ABC PERMIT VIOL,,Illegal Alcohol Sale
ABC,,,093,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,ABC PERMIT VIOL,,Violation Of Solicitor's Permit
ABC,,,093-A,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,ABC PERMIT VIOL,,Broker For Alcohol Beverage Without Permit
ABC,,,094,,,,,A,M,,,0,,,,4103,,N,99,,,90G,,,,,,,,TRUCK PERMT VIO,,Trucking Alcohol Beverages Without Permit
ABC,,,095,,,,,A,M,,,0,,,,4102,,N,99,,,90G,,,,,,,,ABC PERMIT VIOL,,Drug Store Permit Violation
ABC,,,096,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,ABC PERMIT VIOL,,Unlicensed Warehouse Liquor Storage
ABC,,,096-A,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,BOTTLING VIOL,,Unauthorized Bottling Of Alcohol Beverage
ABC,,,096-B,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,ABC PERMIT VIOL,,Unauthorized Reconditioning Alcohol
ABC,,,097,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,BEER PERMIT VIO,,Misuse Temporary Beer Permit
ABC,,,098,,,,,A,M,,,0,,,,4102,,N,99,,,90G,,,,,,,,ABC PERMIT VIOL,,Misuse Caterers Permit
ABC,,,100,,,,,U,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,ALC BEV VIOL,,Manufacture Offer For Sale Alcohol Beverage Without License
ABC,,,100,,01,,,U,M,,,0,,,,4199,,N,44,,,90G,,,,,,,,ALC BEV VIOL,,Manufacture Off/Sell Alcohol Beverage Without License
ABC,,,100,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,ALC BEV VIOL,,General Provision Viol: Alcohol Beverage
ABC,,,101,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,ABC LICENSE VIO,,Manufacture Offers/Wholesale Interest In Retail
ABC,,,101-A,,,,,A,M,,,0,,,,4102,,N,99,,,90G,,,,,,,,ALC BEV VIOL,,Irregular Terms Of Sale:Alcohol Beverage
ABC,,,101-AA,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,CREDIT SALE VIO,,Irregular Credit Terms Sale Alcohol Beverage
ABC,,,101-B,,,,,A,M,,,0,,,,4199,,N,99,,,90G,,,,,,,,UNLAW DISCRIM,,Price Discrimination Violation Of Schedules
ABC,,,101-B,,,,,U,M,,,0,,,,4102,,N,44,,,90G,,,,10/31/1964,,,,FILE FALSE SCH,,False Statement On Wholesaler Schedule
ABC,,,101-B,,03H,,,U,M,,,0,,,,4102,,N,44,,,90G,,,,10/31/1964,,,,FILE FALSE SCH,,False Statement On Wholesaler Schedule
ABC,,,101-BB,,,,,A,M,,,0,,,,4102,,N,99,,,90G,,,,,,,,LIQUOR SALE VIO,,Liquor Retail Sales Below Cost
ABC,,,101-BBB,,,,,A,M,,,0,,,,4102,,N,44,,,90G,,,,10/31/1964,,,,WINE SALE VIOL,,Wine Sale Less Than Minimum Consumer Price
